"year","id","task","tasktime","trial","onset","event","FixTime","TestSlide","TestSlide.RT","CorrectResp","TestSlide.ACC"
1,102,"CMFT_Cond2",2011-10-01 12:42:03,19,203,"Fix",6000,"D6_23_Profile_L",1989,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,19,209,"TestSlide",6000,"D6_23_Profile_L",1989,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,20,213.5,"Fix",4500,"N_5_Front_Half",1736,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,20,218,"TestSlide",4500,"N_5_Front_Half",1736,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,21,222.5,"Fix",7500,"B6_23_pro_L",2210,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,21,230,"TestSlide",7500,"B6_23_pro_L",2210,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,22,234.5,"Fix",7500,"Z_8_13_Pro_R_dark",1708,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,22,242,"TestSlide",7500,"Z_8_13_Pro_R_dark",1708,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,23,246.5,"Fix",3000,"J_4_23_R_Pro",2172,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,23,249.5,"TestSlide",3000,"J_4_23_R_Pro",2172,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,24,254,"Fix",7500,"B8_13_pro_R_HS",2822,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,24,261.5,"TestSlide",7500,"B8_13_pro_R_HS",2822,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,25,266,"Fix",1500,"M_4_23_R_Pro",1930,4,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,25,267.5,"TestSlide",1500,"M_4_23_R_Pro",1930,4,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,26,272,"Fix",7500,"J_8_13_r_pro_dark",3251,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,26,279.5,"TestSlide",7500,"J_8_13_r_pro_dark",3251,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,27,284,"Fix",7500,"Z_7_Front_Bot",2661,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,27,291.5,"TestSlide",7500,"Z_7_Front_Bot",2661,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,28,296,"Fix",7500,"D4_23_profile_R",3071,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,28,303.5,"TestSlide",7500,"D4_23_profile_R",3071,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,29,308,"Fix",4500,"N_6_23_L_Pro",3114,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,29,312.5,"TestSlide",4500,"N_6_23_L_Pro",3114,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,30,317,"Fix",3000,"B5_halflit_frontal",3242,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,30,320,"TestSlide",3000,"B5_halflit_frontal",3242,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,1,29,"Fix",1500,"NovelHLFA040_T1",NA,2,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,1,30.5,"TestSlide",1500,"NovelHLFA040_T1",NA,2,0
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,2,35,"Fix",7500,"Novel30RHSA049_T3",2490,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,2,42.5,"TestSlide",7500,"Novel30RHSA049_T3",2490,4,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,3,47,"Fix",1500,"Novel60LA076_T1",2056,2,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,3,48.5,"TestSlide",1500,"Novel60LA076_T1",2056,2,1
1,103,"AUS_CMFT_Cond2",2011-05-04 15:45:51,4,53,"Fix",1500,"NovelHLFA011_T3",2006,4,1
